Name,Age,Position,Finishing,Passing,Pacing,Defending,Keeping,Attacking,Defensive,Level,Overall
Vitor Hugo da Costa,27,Goleiro,0.0,341.0,315.0,323.5,438.0,656.0,1076.5,3,1732.5
Miguel Lima,30,Zagueiro,109.9,132.25,134.5,256.8,0.0,376.65,391.3,1,767.95
Sr. Thomas Rezende,20,Zagueiro,510.8,529.25,526.25,631.2,0.0,1566.3,1157.45,5,2723.75
Nicolas Silva,29,Lateral,135.2,161.5,137.2,160.0,0.0,433.9,297.2,1,731.0999999999999
Dr. Emanuel Lima,30,Lateral,230.4,245.0,246.8,267.5,0.0,722.2,514.3,2,1236.5
Nathan Cunha,32,Meio-campista,239.6,260.0,235.2,238.0,0.0,734.8,473.2,2,1208.0
Yuri Costa,32,Meio-campista,442.0,474.0,432.8,438.0,0.0,1348.8,870.8,4,2219.6
Raul Campos,24,Meio-campista,455.2,500.0,435.2,431.0,0.0,1390.4,866.2,4,2256.6000000000004
Danilo da Mota,25,Meio-campista,155.2,190.0,127.2,136.0,0.0,472.4,263.2,1,735.5999999999999
Rodrigo Dias,26,Atacante,186.0,146.0,151.0,123.0,0.0,483.0,274.0,1,757.0
Luiz Otávio Monteiro,35,Atacante,386.0,331.0,375.0,323.5,0.0,1092.0,698.5,3,1790.5
Luiz Felipe Costa,28,Goleiro,0.0,138.0,117.0,123.5,244.0,255.0,484.5,1,739.5
Juan Gonçalves,34,Zagueiro,310.2,328.5,324.0,396.0,0.0,962.7,720.0,3,1682.7
Renan Fernandes,32,Zagueiro,212.9,233.75,227.0,337.6,0.0,673.65,564.6,2,1238.25
Vitor Hugo da Rosa,25,Lateral,432.0,464.5,436.0,470.5,0.0,1332.5,906.5,4,2239.0
Juan da Rocha,31,Lateral,136.0,173.5,152.8,149.5,0.0,462.3,302.3,1,764.6
Dr. Luiz Gustavo Mendes,20,Meio-campista,155.2,164.0,132.8,130.0,0.0,452.0,262.8,1,714.8
Isaac Barros,25,Meio-campista,254.0,266.0,238.4,241.0,0.0,758.4,479.4,2,1237.8
Matheus da Cunha,28,Meio-campista,160.0,192.0,125.6,147.0,0.0,477.6,272.6,1,750.2
Yuri Teixeira,23,Meio-campista,243.2,300.0,224.8,241.0,0.0,768.0,465.8,2,1233.8
Eduardo Viana,23,Atacante,290.0,230.0,266.0,216.5,0.0,786.0,482.5,2,1268.5
Guilherme Dias,23,Atacante,188.0,143.0,154.0,122.0,0.0,485.0,276.0,1,761.0
Luiz Gustavo da Rosa,31,Goleiro,0.0,134.0,122.0,122.0,232.0,256.0,476.0,1,732.0
Sr. Cauê Nascimento,30,Zagueiro,412.6,436.75,426.25,556.8,0.0,1275.6,983.05,4,2258.6499999999996
Davi Rocha,23,Zagueiro,511.4,535.25,525.5,631.2,0.0,1572.15,1156.7,5,2728.8500000000004
Francisco Fogaça,32,Lateral,128.0,160.0,140.8,158.5,0.0,428.8,299.3,1,728.1
Gabriel da Cruz,25,Lateral,125.6,173.5,156.4,145.0,0.0,455.5,301.4,1,756.9
Antônio Gonçalves,30,Meio-campista,149.2,160.0,126.4,145.0,0.0,435.6,271.4,1,707.0
Dr. Kevin da Mota,21,Meio-campista,246.8,282.0,233.6,242.0,0.0,762.4,475.6,2,1238.0
Luigi Costa,20,Meio-campista,243.2,272.0,237.6,243.0,0.0,752.8000000000001,480.6,2,1233.4
João Felipe Moreira,22,Meio-campista,352.8,400.0,331.2,331.0,0.0,1084.0,662.2,3,1746.2
Kevin Jesus,35,Atacante,262.0,241.0,269.0,217.5,0.0,772.0,486.5,2,1258.5
Joaquim Silveira,24,Atacante,292.0,234.0,258.5,219.0,0.0,784.5,477.5,2,1262.0
Carlos Eduardo Moraes,21,Goleiro,0.0,147.0,116.0,124.5,226.0,263.0,466.5,1,729.5
Henrique Farias,32,Zagueiro,113.8,122.5,124.0,250.4,0.0,360.3,374.4,1,734.7
Francisco Cardoso,20,Zagueiro,209.9,226.25,233.0,337.6,0.0,669.15,570.6,2,1239.75
João Miguel Santos,35,Lateral,240.0,266.0,237.2,264.5,0.0,743.2,501.7,2,1244.9
Dr. Cauê Duarte,25,Lateral,229.6,255.5,258.8,267.5,0.0,743.9000000000001,526.3,2,1270.2
Sr. Daniel da Luz,20,Meio-campista,239.6,300.0,232.0,249.0,0.0,771.6,481.0,2,1252.6
Thomas Melo,33,Meio-campista,137.2,184.0,135.2,134.0,0.0,456.4,269.2,1,725.5999999999999
Pietro Mendes,21,Meio-campista,145.6,184.0,136.8,150.0,0.0,466.40000000000003,286.8,1,753.2
Matheus da Mata,33,Meio-campista,260.0,276.0,237.6,250.0,0.0,773.6,487.6,2,1261.2
Luigi Aragão,23,Atacante,170.0,150.0,161.5,125.0,0.0,481.5,286.5,1,768.0
Bruno Novaes,25,Atacante,484.0,430.0,475.0,416.5,0.0,1389.0,891.5,4,2280.5
Yago Ribeiro,29,Goleiro,0.0,146.0,116.5,122.0,196.0,262.5,434.5,1,697.0
Carlos Eduardo Campos,20,Zagueiro,114.4,127.75,133.0,218.4,0.0,375.15,351.4,1,726.55
Sr. Vitor Pereira,23,Zagueiro,211.1,236.75,230.75,305.6,0.0,678.6,536.35,2,1214.95
Samuel da Mota,34,Lateral,236.8,251.0,250.4,261.5,0.0,738.2,511.9,2,1250.1
Luiz Henrique da Costa,22,Lateral,335.2,351.0,339.6,372.0,0.0,1025.8000000000002,711.6,3,1737.4
Marcos Vinicius da Costa,32,Meio-campista,139.6,180.0,128.8,137.0,0.0,448.40000000000003,265.8,1,714.2
Vitor Gabriel Jesus,24,Meio-campista,137.2,186.0,139.2,143.0,0.0,462.4,282.2,1,744.5999999999999
Guilherme Pires,24,Meio-campista,244.4,288.0,227.2,230.0,0.0,759.5999999999999,457.2,2,1216.8
Felipe Rocha,24,Meio-campista,154.0,188.0,140.0,135.0,0.0,482.0,275.0,1,757.0
Francisco Ramos,35,Atacante,398.0,337.0,372.0,317.5,0.0,1107.0,689.5,3,1796.5
Rafael das Neves,26,Atacante,190.0,143.0,169.0,124.0,0.0,502.0,293.0,1,795.0
Enzo Novaes,28,Goleiro,0.0,349.0,316.5,317.0,417.0,665.5,1050.5,3,1716.0
Juan Moura,30,Zagueiro,112.9,134.5,124.75,237.6,0.0,372.15,362.35,1,734.5
João Felipe Carvalho,23,Zagueiro,112.0,124.75,135.25,199.2,0.0,372.0,334.45,1,706.45
João Gabriel Melo,26,Lateral,325.6,355.5,357.6,348.0,0.0,1038.7,705.6,3,1744.3000000000002
Sr. Vicente Azevedo,20,Lateral,236.8,264.5,256.4,270.5,0.0,757.7,526.9,2,1284.6
Matheus Moraes,23,Meio-campista,350.4,386.0,324.0,338.0,0.0,1060.4,662.0,3,1722.4
Vinicius da Rocha,31,Meio-campista,346.8,396.0,340.0,340.0,0.0,1082.8,680.0,3,1762.8
Leonardo Caldeira,23,Meio-campista,236.0,292.0,232.8,243.0,0.0,760.8,475.8,2,1236.6
Luigi Lopes,34,Meio-campista,142.0,198.0,124.0,131.0,0.0,464.0,255.0,1,719.0
Pietro Mendes,34,Atacante,188.0,140.0,148.0,116.0,0.0,476.0,264.0,1,740.0
Arthur Ferreira,21,Atacante,392.0,335.0,370.5,319.0,0.0,1097.5,689.5,3,1787.0
Sr. Joaquim da Cruz,25,Goleiro,0.0,338.0,323.5,324.0,396.0,661.5,1043.5,3,1705.0
Sr. Davi Luiz Dias,23,Zagueiro,111.4,124.0,130.0,250.4,0.0,365.4,380.4,1,745.8
Gustavo Silva,30,Zagueiro,109.3,122.5,122.5,212.0,0.0,354.3,334.5,1,688.8
Heitor Peixoto,26,Lateral,138.4,155.5,151.6,151.0,0.0,445.5,302.6,1,748.1
Anthony Castro,31,Lateral,432.0,463.0,449.2,464.5,0.0,1344.2,913.7,4,2257.9
Heitor Gonçalves,28,Meio-campista,243.2,274.0,236.0,237.0,0.0,753.2,473.0,2,1226.2
Antônio Fogaça,25,Meio-campista,345.6,398.0,337.6,338.0,0.0,1081.2,675.6,3,1756.8000000000002
Arthur Cavalcanti,25,Meio-campista,245.6,292.0,226.4,244.0,0.0,764.0,470.4,2,1234.4
Thiago Mendes,29,Meio-campista,145.6,178.0,131.2,139.0,0.0,454.8,270.2,1,725.0
Luiz Henrique da Cunha,29,Atacante,172.0,132.0,170.5,120.0,0.0,474.5,290.5,1,765.0
Lucca Correia,34,Atacante,378.0,331.0,363.0,315.5,0.0,1072.0,678.5,3,1750.5
Gustavo Cardoso,26,Goleiro,0.0,247.0,221.5,223.0,332.0,468.5,776.5,2,1245.0
Bruno da Rocha,28,Zagueiro,112.6,131.5,128.5,215.2,0.0,372.6,343.7,1,716.3
Igor Aragão,22,Zagueiro,312.0,332.25,324.75,437.6,0.0,969.0,762.35,3,1731.35
André Melo,29,Lateral,139.2,155.5,140.8,148.0,0.0,435.5,288.8,1,724.3
Ryan Aragão,35,Lateral,131.2,169.0,136.0,155.5,0.0,436.2,291.5,1,727.7
Juan Araújo,25,Meio-campista,151.6,180.0,127.2,138.0,0.0,458.8,265.2,1,724.0
Thomas Azevedo,22,Meio-campista,157.6,174.0,135.2,130.0,0.0,466.8,265.2,1,732.0
Vitor Hugo Gomes,20,Meio-campista,237.2,264.0,238.4,241.0,0.0,739.6,479.4,2,1219.0
Bryan Cunha,33,Meio-campista,155.2,170.0,134.4,144.0,0.0,459.6,278.4,1,738.0
Pedro Henrique Pereira,27,Atacante,188.0,134.0,155.5,119.5,0.0,477.5,275.0,1,752.5
Luiz Felipe Costela,34,Atacante,172.0,132.0,160.0,124.5,0.0,464.0,284.5,1,748.5
João Miguel Barbosa,23,Goleiro,0.0,243.0,219.0,218.0,347.0,462.0,784.0,2,1246.0
Yuri da Rosa,29,Zagueiro,213.8,225.5,234.5,340.8,0.0,673.8,575.3,2,1249.1
Leandro Moreira,21,Zagueiro,213.2,231.5,236.75,318.4,0.0,681.45,555.15,2,1236.6
Rafael Teixeira,23,Lateral,332.0,369.0,343.2,360.0,0.0,1044.2,703.2,3,1747.4
Sr. Ian Moura,22,Lateral,137.6,149.5,144.4,172.0,0.0,431.5,316.4,1,747.9
Samuel da Mata,34,Meio-campista,249.2,264.0,230.4,249.0,0.0,743.6,479.4,2,1223.0
Luiz Felipe Freitas,35,Meio-campista,448.0,472.0,425.6,438.0,0.0,1345.6,863.6,4,2209.2
João Lucas Souza,26,Meio-campista,160.0,162.0,138.4,149.0,0.0,460.4,287.4,1,747.8
Heitor Azevedo,21,Meio-campista,443.2,464.0,432.8,444.0,0.0,1340.0,876.8,4,2216.8
Vinicius Almeida,26,Atacante,192.0,145.0,166.0,122.5,0.0,503.0,288.5,1,791.5
Gustavo Dias,24,Atacante,294.0,231.0,263.0,215.0,0.0,788.0,478.0,2,1266.0
Sr. Matheus Pereira,24,Goleiro,0.0,232.0,215.5,215.5,344.0,447.5,775.0,2,1222.5
Vitor Hugo da Luz,22,Zagueiro,212.6,231.5,222.5,302.4,0.0,666.6,524.9,2,1191.5
Francisco Santos,22,Zagueiro,311.4,333.0,336.75,453.6,0.0,981.15,790.35,3,1771.5
Nicolas Moraes,22,Lateral,425.6,458.5,457.6,454.0,0.0,1341.7,911.6,4,2253.3
Leandro Oliveira,20,Lateral,135.2,167.5,158.8,148.0,0.0,461.5,306.8,1,768.3
Sr. Levi Carvalho,27,Meio-campista,151.6,198.0,137.6,132.0,0.0,487.20000000000005,269.6,1,756.8000000000001
Heitor Almeida,25,Meio-campista,139.6,184.0,124.0,138.0,0.0,447.6,262.0,1,709.6
Pedro Lucas Freitas,24,Meio-campista,250.4,300.0,237.6,250.0,0.0,788.0,487.6,2,1275.6
Sr. Luiz Fernando Novaes,26,Meio-campista,544.4,598.0,524.8,539.0,0.0,1667.2,1063.8,5,2731.0
João Miguel Alves,21,Atacante,198.0,138.0,175.0,121.5,0.0,511.0,296.5,1,807.5
Pietro das Neves,35,Atacante,262.0,246.0,260.0,222.5,0.0,768.0,482.5,2,1250.5
Levi Souza,31,Goleiro,0.0,239.0,217.0,221.0,314.0,456.0,752.0,2,1208.0
Sr. Cauê Novaes,30,Zagueiro,112.0,131.5,132.25,256.8,0.0,375.75,389.05,1,764.8
Sr. Paulo Lopes,22,Zagueiro,314.4,337.5,336.75,437.6,0.0,988.65,774.35,3,1763.0
Dr. Gustavo Barbosa,20,Lateral,124.8,155.5,140.8,146.5,0.0,421.1,287.3,1,708.4000000000001
Isaac Souza,28,Lateral,133.6,149.5,143.2,169.0,0.0,426.3,312.2,1,738.5
Anthony Moura,23,Meio-campista,150.4,174.0,131.2,141.0,0.0,455.59999999999997,272.2,1,727.8
João Guilherme Pereira,25,Meio-campista,338.4,394.0,325.6,347.0,0.0,1058.0,672.6,3,1730.6
Sr. Kevin Cardoso,28,Meio-campista,156.4,164.0,128.8,143.0,0.0,449.2,271.8,1,721.0
Dr. Arthur Duarte,28,Meio-campista,239.6,292.0,237.6,238.0,0.0,769.2,475.6,2,1244.8000000000002
Calebe Lopes,32,Atacante,200.0,140.0,151.0,115.0,0.0,491.0,266.0,1,757.0
Luiz Felipe Ramos,28,Atacante,286.0,238.0,258.5,218.0,0.0,782.5,476.5,2,1259.0
Thiago Moreira,23,Goleiro,0.0,440.0,422.0,424.0,550.0,862.0,1396.0,4,2258.0
Enrico Sales,25,Zagueiro,114.7,131.5,124.0,212.0,0.0,370.2,336.0,1,706.2
Sr. Renan Castro,27,Zagueiro,311.7,335.25,328.5,415.2,0.0,975.45,743.7,3,1719.15
Sr. Leonardo Mendes,26,Lateral,137.6,173.5,151.6,148.0,0.0,462.70000000000005,299.6,1,762.3000000000001
Sr. Vinicius Farias,33,Lateral,337.6,360.0,357.6,372.0,0.0,1055.2,729.6,3,1784.8000000000002
Dr. João Felipe Duarte,31,Meio-campista,249.2,288.0,236.8,242.0,0.0,774.0,478.8,2,1252.8
Pedro Aragão,23,Meio-campista,451.6,494.0,436.8,437.0,0.0,1382.4,873.8,4,2256.2
Thomas Novaes,28,Meio-campista,337.2,368.0,337.6,333.0,0.0,1042.8000000000002,670.6,3,1713.4
Kevin Jesus,20,Meio-campista,249.2,272.0,233.6,230.0,0.0,754.8000000000001,463.6,2,1218.4
Alexandre Nunes,25,Atacante,278.0,237.0,252.5,223.0,0.0,767.5,475.5,2,1243.0
João Pedro Souza,23,Atacante,490.0,444.0,446.5,420.5,0.0,1380.5,867.0,4,2247.5
Henrique Duarte,21,Goleiro,0.0,144.0,122.0,116.0,199.0,266.0,437.0,1,703.0
Kevin Pinto,30,Zagueiro,309.6,336.0,322.5,431.20000000000005,0.0,968.1,753.7,3,1721.8000000000002
Danilo Monteiro,23,Zagueiro,214.7,233.0,224.0,321.6,0.0,671.7,545.6,2,1217.3000000000002
Raul Ramos,34,Lateral,438.4,451.0,445.6,445.0,0.0,1335.0,890.6,4,2225.6
Noah Sales,22,Lateral,233.6,245.0,242.0,246.5,0.0,720.6,488.5,2,1209.1
João Vitor Viana,35,Meio-campista,142.0,162.0,126.4,130.0,0.0,430.4,256.4,1,686.8
Leandro da Conceição,20,Meio-campista,138.4,178.0,126.4,135.0,0.0,442.79999999999995,261.4,1,704.1999999999999
Ian Cunha,25,Meio-campista,142.0,170.0,131.2,145.0,0.0,443.2,276.2,1,719.4
Vinicius Caldeira,29,Meio-campista,251.6,300.0,234.4,230.0,0.0,786.0,464.4,2,1250.4
Renan da Mota,27,Atacante,176.0,138.0,169.0,122.0,0.0,483.0,291.0,1,774.0
Miguel Caldeira,20,Atacante,182.0,133.0,148.0,116.0,0.0,463.0,264.0,1,727.0
Enzo Farias,32,Goleiro,0.0,140.0,116.0,116.5,220.0,256.0,452.5,1,708.5
Ryan Caldeira,21,Zagueiro,312.6,327.75,327.75,440.8,0.0,968.1,768.55,3,1736.65
Otávio Ferreira,29,Zagueiro,113.2,127.0,136.75,244.0,0.0,376.95,380.75,1,757.7
Sr. Juan Moreira,27,Lateral,328.8,346.5,336.0,370.5,0.0,1011.3,706.5,3,1717.8
Lucca Almeida,29,Lateral,125.6,155.5,139.6,149.5,0.0,420.70000000000005,289.1,1,709.8000000000001
Pedro Miguel da Costa,29,Meio-campista,254.0,274.0,236.8,243.0,0.0,764.8,479.8,2,1244.6
Benjamin Sales,35,Meio-campista,542.0,560.0,536.0,532.0,0.0,1638.0,1068.0,5,2706.0
Francisco da Cruz,31,Meio-campista,154.0,162.0,139.2,145.0,0.0,455.2,284.2,1,739.4
Vitor Gabriel da Paz,21,Meio-campista,139.6,182.0,140.0,136.0,0.0,461.6,276.0,1,737.6
Kaique Araújo,34,Atacante,466.0,445.0,458.5,418.5,0.0,1369.5,877.0,4,2246.5
Bernardo Gonçalves,22,Atacante,394.0,342.0,349.5,316.5,0.0,1085.5,666.0,3,1751.5
Matheus Costela,28,Goleiro,0.0,132.0,124.0,116.5,226.0,256.0,466.5,1,722.5
Vitor Gabriel Moreira,33,Zagueiro,113.8,136.0,135.25,224.8,0.0,385.05,360.05,1,745.1
Dr. Nathan Monteiro,27,Zagueiro,514.7,527.75,533.0,602.4,0.0,1575.45,1135.4,5,2710.8500000000004
Juan Moraes,34,Lateral,126.4,146.5,144.4,167.5,0.0,417.29999999999995,311.9,1,729.1999999999999
Vitor Gabriel Cardoso,31,Lateral,224.8,251.0,255.2,269.0,0.0,731.0,524.2,2,1255.2
Calebe Melo,32,Meio-campista,551.6,598.0,530.4,546.0,0.0,1680.0,1076.4,5,2756.4
Ian Monteiro,20,Meio-campista,346.8,362.0,324.0,340.0,0.0,1032.8,664.0,3,1696.8
João Guilherme Mendes,30,Meio-campista,457.6,470.0,438.4,447.0,0.0,1366.0,885.4,4,2251.4
Marcos Vinicius Cunha,33,Meio-campista,140.8,160.0,127.2,134.0,0.0,428.0,261.2,1,689.2
Rafael Porto,30,Atacante,260.0,244.0,254.0,215.5,0.0,758.0,469.5,2,1227.5
Felipe Costa,28,Atacante,300.0,250.0,266.0,218.5,0.0,816.0,484.5,2,1300.5
Samuel Silveira,32,Goleiro,0.0,238.0,220.5,216.0,338.0,458.5,774.5,2,1233.0
Antônio Carvalho,29,Zagueiro,111.7,124.0,136.75,218.4,0.0,372.45,355.15,1,727.5999999999999
Nicolas Campos,21,Zagueiro,411.1,436.0,437.5,556.8,0.0,1284.6,994.3,4,2278.8999999999996
Carlos Eduardo Nascimento,30,Lateral,228.8,248.0,258.8,273.5,0.0,735.6,532.3,2,1267.9
Augusto Cavalcanti,34,Lateral,228.0,245.0,236.0,251.0,0.0,709.0,487.0,2,1196.0
Guilherme Dias,23,Meio-campista,240.8,276.0,237.6,234.0,0.0,754.4,471.6,2,1226.0
João Miguel Castro,22,Meio-campista,154.0,162.0,124.8,148.0,0.0,440.8,272.8,1,713.6
Dr. Erick Gomes,32,Meio-campista,160.0,166.0,134.4,149.0,0.0,460.4,283.4,1,743.8
Murilo Lopes,28,Meio-campista,243.2,298.0,231.2,231.0,0.0,772.4000000000001,462.2,2,1234.6000000000001
Dr. André Fogaça,27,Atacante,382.0,343.0,363.0,318.0,0.0,1088.0,681.0,3,1769.0
Davi Lucas Almeida,28,Atacante,596.0,537.0,561.5,520.5,0.0,1694.5,1082.0,5,2776.5
Sr. Davi Luiz Nascimento,23,Goleiro,0.0,333.0,323.0,320.5,393.0,656.0,1036.5,3,1692.5
Miguel Costa,23,Zagueiro,215.0,235.25,227.75,315.2,0.0,678.0,542.95,2,1220.95
Sr. Fernando Costela,28,Zagueiro,411.4,424.75,433.0,512.0,0.0,1269.15,945.0,4,2214.15
Ryan Souza,33,Lateral,129.6,145.0,151.6,169.0,0.0,426.20000000000005,320.6,1,746.8000000000001
Sr. Enzo Gabriel Costa,23,Lateral,536.8,575.0,538.4,567.5,0.0,1650.1999999999998,1105.9,5,2756.1
Pedro Melo,22,Meio-campista,254.0,280.0,236.8,237.0,0.0,770.8,473.8,2,1244.6
Davi Lucca Correia,23,Meio-campista,244.4,284.0,234.4,241.0,0.0,762.8,475.4,2,1238.1999999999998
Theo da Cunha,33,Meio-campista,543.2,592.0,530.4,538.0,0.0,1665.6,1068.4,5,2734.0
Dr. Arthur Viana,23,Meio-campista,240.8,264.0,231.2,232.0,0.0,736.0,463.2,2,1199.2
Otávio Porto,24,Atacante,178.0,140.0,170.5,116.5,0.0,488.5,287.0,1,775.5
Benjamin Teixeira,30,Atacante,396.0,331.0,360.0,322.0,0.0,1087.0,682.0,3,1769.0
Vitor Hugo Cardoso,34,Goleiro,0.0,237.0,215.5,217.5,296.0,452.5,729.0,2,1181.5
Gustavo Barbosa,25,Zagueiro,414.1,422.5,433.75,502.4,0.0,1270.35,936.15,4,2206.5
Luiz Miguel Vieira,28,Zagueiro,109.9,128.5,132.25,244.0,0.0,370.65,376.25,1,746.9
Dr. Miguel Barbosa,33,Lateral,227.2,261.5,244.4,261.5,0.0,733.1,505.9,2,1239.0
Luiz Otávio Melo,29,Lateral,126.4,151.0,142.0,145.0,0.0,419.4,287.0,1,706.4
Vitor Hugo Sales,35,Meio-campista,155.2,190.0,124.8,140.0,0.0,470.0,264.8,1,734.8
João Pedro Moura,30,Meio-campista,154.0,178.0,134.4,139.0,0.0,466.4,273.4,1,739.8
Luiz Otávio Campos,28,Meio-campista,142.0,198.0,126.4,146.0,0.0,466.4,272.4,1,738.8
Vinicius Jesus,24,Meio-campista,339.6,364.0,325.6,344.0,0.0,1029.2,669.6,3,1698.8000000000002
Nicolas Pires,33,Atacante,186.0,137.0,149.5,116.5,0.0,472.5,266.0,1,738.5
Sr. Rafael Pereira,23,Atacante,474.0,439.0,455.5,425.0,0.0,1368.5,880.5,4,2249.0
Luiz Gustavo Pinto,26,Goleiro,0.0,132.0,124.0,123.5,223.0,256.0,470.5,1,726.5
